,,,,,,,,
,,,,,,,,
,,,,Q1,Q2,Q3,Q4,Q5
,1,Operational Health,Question,Does the Principal have any feedback or concerns on the program implementation?,,,,
,,,Type,Binary and remark,,,,
,2,Implementaion Progress,Question,Where you able to provide an update of curriculum progress with the Principal?,Where you able to provide an update of other key events with the Principal?,,,
,,,Type,Binary and remark,Binary and remark,,,
,3,Student perfrormance on Monthly tests,Question,Did you share and discuss about the student performance?,,,,
,,,Type,Binary and remark,,,,
,4,Support Needed,Question,Where there any request or concern raised to The Principal?,,,,
,,,Type,Binary and remark,,,,
,5,Monthly Planning,Question,Is the plan for upcoming month discussed with Principal?,Were the necessary permission obtained for upcoming activities activites ,,,
,,,Type,Binary and remark,Binary and remark,,,
